Comida,Comida_Mention
"Uma sandwich para o caminho","Uma sandwich para o caminho [1]"
"Um pedaço de Mortandela","Um pedaço de Mortandela para [1]"
"Uma Pizza de 4 queijos","Uma Pizza de 4 queijos para [1]"
"Um Bife","Um Bife para [1]"
"Um Pão de alho com Queijo","Um Pão de alho com Queijo para [1]"
"Uma Bruscheta de tomate, mozzarella e pesto","Uma Bruscheta de tomate, mozzarella e pesto para [1]"
"Uma Bruscheta de legumes grelhados e mozzarella","Uma Bruscheta de legumes grelhados e mozzarella para [1]"
"Um Rotolini - Rolo de pizza com mozzarella , salame picante e pasta de alho","Um Rotolini - Rolo de pizza com mozzarella, salame picante e pasta de alho para [1]"
"Um Carpaccio de Novilho - Molho de mostarda, canónigos e cebola frita","Um Carpaccio de Novilho - Molho de mostarda, canónigos e cebola frita para [1]"
"Uma Burrata com Rúcula, tomate cereja e pesto","Uma Burrata com Rúcula, tomate cereja e pesto para [1]"
"Um Creme de Legumes para ficares descansado","Um Creme de Legumes para ficares descansado [1]"
"Uma Salada Caesar que tás a precisar de verdes","Uma Salada Caesar que tás a precisar de verdes [1]"
"Uma Salada de Salmão Fumado que tás a precisar de verdes e peixe","Uma Salada de Salmão Fumado  que tás a precisar de verdes e peixe [1]"
"Uma Salada de Legumes Grelhados que tás a precisar de verdes","Uma Salada de Legumes Grelhados  que tás a precisar de verdes [1]"
"Uma Salada Caprese que tás a precisar de laticinios","Uma Salada Caprese que tás a precisar de laticinios [1]"
"KIDS MENU Hambúrguer com batata frita","KIDS MENU Hambúrguer com batata frita para [1]"
"KIDS MENU Pizzeta Pizzaiolo","KIDS MENU Pizzeta Pizzaiolo para [1]"
"Um Tiramissú","Um Tiramissú para [1]"
"Um Gelado de iogurte com compota de framboesas","Um Gelado de iogurte com compota de framboesas para [1]"
"Um Crumble de maçã e framboesa com gelado de baunilha","Um Crumble de maçã e framboesa com gelado de baunilha para [1]"
"Um Brownie de gelado de baunilha","Um Brownie de gelado de baunilha para [1]"
"Uma Mousse de chocolate preto","Uma Mousse de chocolate preto para [1]"
"Um Gelados artesanal","Um Gelados artesanal para [1]"